crop,empiricalJointZero,candidates,selected,baseWidth,activeWidth,activeWidthReduction,activeRelativeReduction,heuristicWidth,randomMeanWidth,fullModelWidth,recoveredFullModelReduction,exactPruningRate,totalAvoidanceRate,selectedEndpointLpSolves,durationSeconds,activeBeatsHeuristic,activeBeatsRandomMean
apple,False,46,23,0.21701477888077153,0.023055963110458988,0.19395881577031254,0.8937585576919349,0.09447473398098788,0.0704451205690712,0.023055963110459016,1.0000000000000002,0.7246376811594203,0.9788647342995169,35,9.022471271993709,True,True
banana,False,44,21,0.14457831325301204,0.007407236996613595,0.13717107625639846,0.9487666107734227,0.12715712988192546,0.03808554560863697,0.004065171853147552,0.9762152841352015,0.7259158751696065,0.9776119402985075,33,8.866089364993968,True,True
blackgram,True,24,16,0.01019462465245598,0.01019462465245598,0.0,0.0,0.01019462465245598,0.010194624652455981,0.010194624652455974,0.0,0.5514705882352942,0.9540441176470589,25,10.419011948994012,False,False
coconut,False,53,18,0.024815253468285198,0.024815253468285198,0.0,0.0,0.02481525346828528,0.02481525346828528,0.016555092429995116,0.0,0.8259569377990431,0.9838516746411483,27,7.833600359997945,False,False
kidneybeans,False,55,24,0.023981905404051762,0.023981905404051734,2.7755575615628914e-17,1.1573548952010955e-15,0.02398190540405179,0.023981905404051797,0.023981905404053372,0.0,0.7469767441860465,0.9804651162790697,42,10.361523757994291,False,False
maize,True,33,22,0.010194624652455981,0.01019462465245598,1.734723475976807e-18,1.7016060277990676e-16,0.010194624652455976,0.01019462465245598,0.010194624652468894,0.0,0.5681818181818182,0.9654150197628458,35,13.26703688201087,False,False
pigeonpeas,False,56,25,0.12210990261612362,0.020041112417411938,0.10206879019871168,0.8358764359970452,0.049152494970161914,0.025998704270976197,0.017594877674941,0.9765944203348027,0.4586363636363636,0.9795454545454545,45,10.902997491997667,True,True
pomegranate,False,32,16,0.08433734939759036,0.002845643800877864,0.0814917055967125,0.9662587949324483,0.05746061167747917,0.026382346333886898,0.0012278794943733455,0.9805345370583107,0.6495098039215687,0.9693627450980392,25,7.274051062006038,True,True
rice,False,52,25,0.02324115156917758,0.023241151569177554,2.7755575615628914e-17,1.1942427006258313e-15,0.023241151569177554,0.02324115156917761,0.02324115156917772,0.0,0.7445,0.979,42,10.160682514993823,False,False
watermelon,True,24,15,0.010194624652455977,0.010194624652455981,0.0,0.0,0.01019462465245598,0.010194624652455981,0.0004735866543095463,0.0,0.6174242424242424,0.9545454545454546,24,10.287151174008613,False,False
